"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"ASB16-AS1";1157;1034;488;549;604;2369;2282;1380;1254;647;1089;2115;1383;1420;1123;1129;1556;1130;815;1078
"ASB17";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASB18";0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"ASB2";218;152;141;262;171;44;115;91;66;96;47;184;46;248;87;543;267;115;254;283
"ASB3";37;72;108;46;79;78;142;96;47;35;57;91;88;81;60;106;170;118;32;86
"ASB4";2;5;0;2;20;0;1;13;46;6;0;23;5;44;17;35;11;20;11;68
"ASB5";0;4;4;1;1;1;0;0;0;5;0;0;3;3;2;2;2;3;6;5
"ASB6";3221;1447;3702;2100;1862;2599;3289;1989;1463;1339;1551;2398;2011;2501;2488;3084;2414;2286;1531;1842
"ASB7";1164;3037;2299;4816;1075;2474;1389;3809;325;967;1672;3135;2012;1806;1757;1670;1610;1801;905;1611
"ASB8";1570;3255;2033;1934;2859;3381;1566;3510;1241;1664;3237;4098;3949;3049;1974;3260;2913;2899;1348;2671
"ASB9";636;986;1764;213;182;41;67;108;85;81;46;159;51;244;423;225;142;163;138;404
"ASB9P1";3;1;1;0;0;0;0;0;4;0;0;0;0;0;82;0;0;0;0;0
"ASCC1";1003;2753;5409;3399;1470;2506;1728;2326;810;1273;1753;1667;2624;1671;1306;1578;1769;1724;1353;1537
"ASCC2";5156;4306;6119;4497;3778;2869;4253;5889;3773;2043;3022;3406;3413;4330;6773;5990;3625;6062;3230;4123
"ASCC3";4868;3092;12058;7704;1855;2008;1622;3899;1555;2100;2393;2177;1997;2791;6381;2596;2073;2857;1986;2793
"ASCL1";2;8;8;5;70;722;27;0;4;2;42;6;0;1;2;266;1093;7;6;7
"ASCL2";225;128;236;211;626;55;199;187;73;51;47;78;33;52;48;159;75;206;97;38
"ASCL3";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"ASCL4";0;0;0;1;13;3;0;2;2;5;3;30;6;14;2;8;2;7;7;11
"ASCL5";5;2;4;5;1;0;2;5;16;4;3;1;3;5;10;1;1;6;6;2
"ASF1A";865;2450;3947;3450;1252;1354;4184;1751;2458;1139;2364;1054;2759;1605;1289;1750;1371;1397;836;1550
"ASF1B";2162;1494;1417;2567;490;3629;8747;1016;1471;994;2326;2172;2290;589;1682;376;547;183;425;163
"ASGR1";137;99;78;90;56;50;189;89;78;19;34;58;77;129;58;149;128;232;84;192
"ASGR2";62;24;30;39;38;7;70;50;24;13;27;30;30;58;19;109;82;185;65;61
"ASH1L";14642;8015;10228;12524;7845;9701;4094;13590;2287;5460;6046;13013;5998;8815;25409;8044;5864;5491;4724;9038
"ASH1L-AS1";581;369;416;201;189;309;141;238;149;132;175;345;142;237;868;266;407;146;172;236
"ASH2L";2586;4513;3224;10377;2736;6032;3968;5459;2276;1453;7075;7594;7874;4327;3026;4390;3820;3774;1905;4223
"ASIC1";427;347;87;90;331;340;643;344;110;921;226;691;233;823;347;336;500;412;625;427
"ASIC2";4;7;2;3;27;52;1;51;0;2;4;8;15;22;29;23;17;30;0;134
"ASIC3";2028;96;76;74;269;703;1806;156;186;772;464;348;531;209;2780;310;878;206;737;265
"ASIC4";59;173;2;30;13;46;21;3;15;5;28;19;44;49;72;20;254;13;9;35
"ASIC5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"ASIP";12;8;11;12;8;7;11;0;4;3;2;4;8;17;6;29;26;48;7;36
"ASL";2913;2753;3185;3804;1613;2502;2434;2427;1035;1650;3599;2405;3639;2214;2562;2399;2241;2650;1787;1867
"ASMT";11;14;9;6;8;29;12;17;7;4;37;16;57;13;3;39;41;34;7;13
"ASMTL";2097;1631;3187;1845;2292;1229;1067;2552;1246;461;1321;1283;1666;1856;1539;2394;1465;1872;747;1955
"ASMTL-AS1";173;504;150;188;310;571;347;356;74;44;223;119;260;325;153;364;485;290;148;186
"ASNA1";3650;5207;4505;5094;3166;4878;7470;4586;3112;4421;3745;3930;5071;3387;2709;3897;3361;4467;3400;3436
"ASNS";11799;6402;6802;8541;2912;4183;3557;1231;4594;3220;3475;3104;2290;2488;5740;3367;3739;1603;2518;1848
"ASNSD1";5213;5331;6490;4260;3710;4370;6731;4110;3313;1470;3875;3750;4382;3909;4270;4894;4197;3946;1704;3614
"ASPA";19;101;24;17;203;50;43;63;2;19;41;140;101;130;24;460;133;293;265;534
"ASPDH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"ASPG";3;20;1;2;144;65;4;3;0;2364;4;8;8;25;0;335;143;11;1634;16
"ASPH";8963;12520;47321;11985;18651;4419;14395;30294;5573;4736;11878;17784;11479;21415;20770;28293;10694;25515;10482;18993
"ASPHD1";283;168;478;17;38;507;1980;109;41;438;137;97;111;106;660;137;205;81;279;40
"ASPHD2";440;278;447;438;131;80;551;356;171;104;122;183;177;207;191;267;131;232;172;214
"ASPM";3799;4366;9223;8794;487;1916;6402;2587;1915;390;3859;1749;4013;666;3347;208;226;155;214;198
"ASPN";9732;1532;970;300;3307;19963;4475;13381;587;759;1984;43159;2368;13631;7120;1619;41335;11508;2128;13674
"ASPRV1";45;384;132;172;209;95;222;108;125;198;96;129;91;238;55;379;317;307;217;275
"ASPSCR1";3615;3040;1358;2164;1272;2511;5427;2167;3563;1220;3617;3147;6548;1751;4184;1898;2120;2685;1615;1717
"ASRGL1";392;355;355;116;595;146;12297;206;176;521;431;311;368;630;286;1055;452;671;629;699
"ASS1";56383;6295;19896;9517;4798;811;12976;1156;2298;4159;3717;707;1976;3640;22243;9485;2644;6761;7097;4625
"ASTE1";727;404;1475;449;836;1052;909;1190;221;499;682;844;740;880;816;1023;939;927;490;822
"ASTL";31;9;13;21;28;55;15;22;9;4;69;17;95;34;30;52;60;4;6;7
"ASTN1";5;152;5;3;271;37;4;8;1;7;54;513;39;233;22;369;85;39;8;820
"ASTN2";249;365;332;161;1318;1779;2875;636;122;258;942;758;657;1296;222;964;1752;778;307;825
"ASTN2-AS1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASUN";5940;5485;10490;2442;1904;2452;1737;2590;1587;1681;2176;1561;1929;2109;4743;2014;2267;1806;1572;1708
"ASXL1";6335;9492;8256;12055;8122;11566;12859;7205;4255;4828;7061;8270;7802;10131;7654;13063;12817;7902;6482;9350
"ASXL2";766;1580;5443;3130;1764;2056;267;2958;347;1275;2935;2878;2500;2241;3210;1808;1081;1074;1305;2366
"ASXL3";8;9;0;12;29;10;3;0;1;4;5;332;2;63;12;49;14;18;28;146
"ASZ1";0;3;0;0;0;0;0;1;0;0;0;3;0;0;1;0;0;2;0;3
"ATAD1";1851;6463;8188;4332;3349;5522;1778;5598;2143;2499;6970;4926;7749;4684;2561;4337;4081;3403;2189;3255
"ATAD2";4217;6751;12077;14796;3223;13632;15261;10604;7356;1155;17498;4229;12289;1891;4898;1291;2325;1311;777;1202
"ATAD2B";1113;2293;3427;3733;1461;1604;830;2342;453;1149;2659;2140;2847;1887;2237;1666;1605;1412;1001;1403
"ATAD3A";6746;5300;3854;9488;1666;2616;3980;2125;4321;1881;3667;2073;3502;1972;4719;2065;1767;2487;1874;1344
"ATAD3B";8477;5097;8053;6855;1747;2777;3163;1832;3435;2673;2199;2094;2670;1974;4654;3099;3127;3117;3121;1695
"ATAD3C";1691;4170;563;768;497;1543;428;740;266;531;424;820;534;944;625;940;1175;888;401;545
"ATAD5";541;1730;2928;1219;404;1141;785;564;465;206;1075;1127;881;578;1089;302;446;219;198;313
"ATAT1";928;3438;3165;2333;1371;4097;2305;1193;1186;1154;3286;2054;5494;2078;842;1647;2740;1207;1291;1316
"ATCAY";2;0;2;0;2;0;1;1;0;0;0;0;2;0;1;4;0;0;2;0
"ATE1";270;700;1033;533;748;1576;245;830;165;533;1070;607;831;788;982;528;512;473;449;801
"ATE1-AS1";2;10;14;0;2;6;0;0;1;18;2;6;1;9;6;6;5;0;18;5
"ATF1";997;2247;2331;1542;1521;1736;778;2101;280;914;1172;2227;1140;1723;1140;1682;1737;1343;670;1588
"ATF2";2157;3697;8617;4308;3324;5221;2578;4088;1858;1785;6367;4411;5794;4614;5449;4836;4516;3420;1627;3674
"ATF3";3480;992;4250;2820;1480;1521;1834;2679;2320;535;1434;811;1169;785;15019;17762;17768;5275;1880;37475
"ATF4";46779;25080;19631;33791;22977;20378;22391;23701;31629;13739;39798;13814;45864;22562;27884;35836;22720;26885;15666;22677
"ATF5";3297;3033;6245;7845;1555;2850;2591;1666;906;740;1971;2704;2741;1891;1760;3189;2362;2345;698;1598
"ATF6";7748;4775;9331;8127;5612;8765;3674;13236;2474;4705;3731;6623;4256;5135;13857;5958;5466;6130;3989;4558
"ATF6B";4336;11337;9608;11128;7143;17041;11843;10196;2408;3615;17054;10076;18123;8933;4282;8732;10760;7183;4729;7310
"ATF7";3336;3677;2290;3432;6454;6864;1404;5644;859;3537;3411;11066;3895;7781;7482;7559;5267;5343;3457;8339
"ATF7IP";2921;3320;4804;3412;1998;3879;1076;4758;1092;2900;2450;2761;2630;2373;4197;1585;1652;1674;2445;3114
"ATF7IP2";291;1000;2580;2050;448;1813;956;954;212;631;1271;473;1565;736;190;1081;1622;969;682;625
"ATG10";502;450;326;386;628;620;391;784;328;290;311;323;443;521;691;760;646;665;336;469
"ATG101";3263;3247;4108;3293;2224;2890;2591;3318;869;1503;1412;3095;1902;2003;3477;3122;3001;3382;1351;2673
"ATG12";3518;3286;4182;4888;3469;5255;20613;4399;1449;3215;4772;6232;6850;4885;3637;4662;4946;4173;2475;3475
"ATG13";5088;5571;9963;6383;5655;7499;5632;8328;3818;4850;4100;6657;5095;6926;5367;7588;6188;5957;4840;5948
"ATG14";1145;2191;2541;2679;3029;4439;1502;3455;907;3289;1308;4935;1788;4755;2410;3888;3781;3096;3004;3558
"ATG16L1";2648;2808;1883;2490;3641;3911;4981;5433;1292;2060;4614;2372;5187;3008;3035;4009;3537;3151;2018;2292
"ATG16L2";2312;1109;926;948;2874;5245;6497;2173;985;608;4134;4328;5389;2596;1956;3628;6114;3633;1874;2924
"ATG2A";2983;3855;3900;4488;2272;2830;2432;3154;1201;1368;2826;2521;3155;2900;3571;3303;2353;2362;1904;2400
"ATG2B";1639;2261;5601;1675;3911;5291;2252;5986;1036;3958;2200;6507;2531;5630;3467;4716;4624;3648;3209;5166
"ATG3";4831;2922;8538;6108;2923;3653;5541;3669;3004;2907;3246;3034;3297;3198;5063;4233;3266;3912;2614;3080
"ATG4A";1284;986;1188;1100;891;1185;1837;1842;518;967;658;1205;847;1105;1376;1347;1057;1670;893;1565
"ATG4B";4475;7914;2116;2438;3922;5528;7626;5063;2579;2731;6103;3392;9457;4617;3656;5664;5474;5146;3542;3628
"ATG4C";899;1629;1938;1185;1039;1292;893;1348;482;677;1057;1145;1030;1236;1162;1472;1616;1548;639;1348
"ATG4D";1793;1304;941;1470;1066;1736;4077;1441;2699;3206;1523;1862;2130;968;1461;1453;1403;1113;2660;900
"ATG5";5530;3484;6892;4234;2098;2283;2031;2901;2185;1273;3030;1959;3664;2866;6296;3222;2551;2917;1425;2709
"ATG7";1586;2156;2394;2206;1845;2148;1968;2770;983;876;2173;2298;2005;2328;1540;2931;2473;3548;1805;2515
"ATG9A";3989;6536;6867;5645;3769;4628;4003;5087;2350;2379;3880;3908;4584;4547;3981;4939;4023;4204;3002;3946
"ATG9B";1093;534;367;511;87;216;353;41;78;129;212;114;350;132;2305;109;261;126;140;96
"ATHL1";4943;5393;13196;26030;42817;60722;1901;29263;1810;4208;2884;38747;3315;17489;4218;21346;53509;16199;7449;13102
"ATIC";7910;8699;17618;8032;5204;9336;7880;13384;3029;1391;12122;5047;11125;3812;4639;4503;5848;5147;1954;2688
"ATL1";820;493;289;1299;848;509;884;1360;667;1907;239;1116;333;1409;868;1462;1093;904;1066;1820
"ATL2";8538;11826;11643;13067;5055;4342;2000;5723;4499;6115;6997;5965;7298;9736;18140;7275;4246;3279;4227;4293
"ATL3";1216;962;4455;2372;1132;2209;1568;3124;692;1128;2786;1281;2524;1246;2344;785;695;927;1174;1557
"ATM";2473;3299;10971;6398;4758;4405;3477;5665;1574;2866;3297;5519;3128;6971;3653;6428;5052;4480;3560;6559
"ATMIN";4636;8681;10343;4984;4976;7472;2780;4545;3365;2592;7120;6887;8351;5987;4056;6513;5317;4288;2685;5248
"ATN1";24645;23376;20603;42906;11446;18560;8028;17515;6879;17851;6604;8832;10224;14704;30537;21448;17152;15238;21553;16333
"ATOH1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"ATOH7";11;24;0;5;3;5;2;1;2;7;6;8;8;9;22;3;11;1;10;7
"ATOH8";111;179;216;312;789;103;103;142;264;68;21;89;30;457;42;1367;426;1704;1168;1048
"ATOX1";4022;3140;4226;5718;2608;2264;4813;2839;2170;1723;2901;5085;3396;2703;2103;2646;3354;3867;2002;2605
"ATP10A";2382;1087;1143;2166;898;1140;1230;2887;203;740;583;1186;614;1419;2012;1425;1392;1376;996;1169
"ATP10B";40;69;1538;153;64;1;4;8;212;325;3;347;2;36;42;58;11;37;84;68
"ATP10D";1670;1628;1772;902;1629;2550;639;1928;320;890;905;2473;1007;2599;2430;2423;2474;2224;1158;3012
"ATP11A";2599;5162;6102;22972;1870;1385;2193;1288;2368;1328;4909;2206;3342;3724;3401;3374;1746;2396;2008;3559
"ATP11A-AS1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ATP11AUN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ATP11B";2593;6494;10000;4313;2856;1678;3756;8063;2710;1675;1973;2104;1701;3740;3960;4739;3085;3418;1977;3458
"ATP11C";2434;5815;7441;9553;1703;1421;815;2103;1100;848;2479;1651;2064;3030;3184;3008;2075;2274;1163;2947
"ATP12A";18;37;4;2;0;5;4;1;1;8;0;3;0;6;24;20;2;1;7;46
"ATP13A1";6185;7173;6887;8989;3895;6567;13953;5518;4691;4832;5547;6425;7061;5405;4980;5697;5653;5274;5781;3967
"ATP13A2";5440;4544;6674;5200;2899;13909;6153;5283;2995;3621;7886;12986;7324;4960;7952;3663;5198;3838;3577;2792
"ATP13A3";4343;12239;22708;10354;5209;9224;5334;11432;4226;4118;12380;7957;11159;6789;6143;8088;6250;5766;3576;6525
"ATP13A4";25;26;30;28;268;111;25;925;31;3297;28;43;35;727;43;207;59;422;1702;135
"ATP13A4-AS1";0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0
"ATP13A5";30;227;209;335;260;32;14;64;27;233;18;10;56;987;6;991;244;61;78;142
"ATP13A5-AS1";0;2;1;3;0;0;2;0;4;0;0;0;0;0;5;0;0;0;0;0
"ATP1A1";45335;18682;68262;55219;32694;24055;21557;28975;20789;50176;21618;32125;21314;38025;33112;39091;18473;25903;35111;30619
"ATP1A1-AS1";208;116;244;129;391;654;260;495;195;122;257;291;303;344;229;373;578;463;139;337
"ATP1A2";78;388;16;23;1162;176;6;488;6;73;21;205;12;616;17;2682;734;2119;1549;1644
"ATP1A3";156;64;108;76;20;5;1369;27;30;26;138;36;72;43;142;56;19;32;44;30
"ATP1A4";17;22;10;11;222;247;11;364;6;7;51;1152;66;401;14;129;112;175;11;257
"ATP1B1";5425;1911;3453;2171;11927;10014;4985;17180;7277;11660;2474;9267;4713;8840;9986;14702;10941;6789;3783;5271
"ATP1B2";34;111;115;14;269;78;23;40;7;35;99;201;173;660;40;527;280;307;96;1589
"ATP1B3";11571;6224;21045;12237;3428;9424;8528;9487;8240;3931;10316;7482;10297;5535;9061;8038;6768;9623;5325;7531
"ATP1B4";3;0;2;2;1;3;1;3;9;0;1;3;0;1;1;1;1;1;2;1
"ATP2A1";199;151;117;195;54;169;104;147;145;175;284;78;466;80;106;114;71;79;224;90
"ATP2A1-AS1";130;73;36;28;33;308;122;58;100;50;37;22;101;24;110;23;117;28;45;19
"ATP2A2";20079;14372;25830;19560;12165;21089;16710;17073;9597;8621;26927;27533;24743;17558;33771;21011;13416;16333;8305;17281
"ATP2A3";1623;2751;3518;3334;3697;2868;1304;4627;3070;3389;31986;6624;27476;4046;1563;6965;4085;4383;3965;4823
"ATP2B1";1838;2229;3861;3078;4723;3999;4061;2879;1341;1324;12438;4291;8755;5404;3084;6622;3787;3115;1775;4638
"ATP2B2";39;37;117;154;324;24;3;2;4;30;1;9;6;55;68;534;87;28;46;99
"ATP2B2-IT2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ATP2B3";87;4;17;1;0;0;1;2;4;5;1;3;2;8;72;3;5;2;15;5
"ATP2B4";10546;6777;13776;20894;8786;8152;4177;24272;6666;10485;12553;18186;13621;16196;14240;18105;8852;16131;11213;20866
"ATP2C1";11050;7801;28255;20714;8301;10751;6326;20677;3699;4329;9378;10408;9735;9303;14292;8975;8046;7901;4071;7335
"ATP2C2";192;135;61;128;659;3358;274;1430;1300;108;5972;4119;6090;987;211;597;992;909;46;519
"ATP4A";6;5;3;1;7;0;2;1;7;1;2;1;1;3;2;4;1;1;1;2
"ATP4B";0;0;1;3;0;1;0;1;2;0;0;0;0;2;0;1;1;2;0;1
"ATP5A1";41736;35714;36166;70651;28968;25574;38398;37407;27384;9569;22427;23400;24319;26555;38724;31898;22481;27391;13496;20492
"ATP5B";46721;31650;90924;51830;30357;29242;32508;32049;22174;24863;23448;37823;24445;25926;29149;36836;21817;30944;18970;21924
"ATP5C1";22378;17264;22649;22244;9955;9627;22813;15625;11295;6063;23352;7848;30171;8648;22919;9471;7659;10614;5720;7695
"ATP5D";3912;1992;2172;3538;2785;2155;7344;2377;957;682;1586;1881;2240;2198;2099;3450;2274;4294;1665;2512
"ATP5E";182;85;132;96;113;82;373;87;128;86;106;87;98;118;161;107;108;124;85;92
"ATP5EP2";11;3;7;6;4;5;21;6;4;3;8;0;4;3;4;6;5;5;6;2
"ATP5F1";14575;5886;13126;16505;10894;10894;19890;11889;7005;7804;11150;7532;12731;9218;9466;11386;8762;11091;6639;8266
"ATP5G1";7803;3271;4476;3764;1990;2508;8927;5205;6770;2109;2462;1961;2793;2333;5563;3038;2290;5049;2017;2424
"ATP5G2";15617;7946;9455;9674;17295;14658;10065;14843;3818;6126;8270;16887;8883;13778;9758;14685;13368;13672;6599;9992
"ATP5G3";22663;15805;30083;21674;8332;6944;16337;7937;12004;4456;12362;8272;13371;7453;13734;9675;6122;9659;5478;6173
"ATP5H";13811;14106;6235;6584;8228;6374;24733;7397;6763;3529;7949;11297;11132;5936;9724;7039;5949;8138;4529;5647
"ATP5I";9040;5428;6775;9130;6315;4766;7280;4538;1800;2122;3790;3007;4375;3669;5654;5678;4968;6812;3245;3924
"ATP5J";7593;5050;8151;10509;4272;6084;11184;6483;8418;5612;3064;4791;5374;4301;4855;6001;5765;7395;4731;5029
"ATP5J2";3787;2322;3051;3071;1446;1273;3557;827;1531;818;970;913;1078;998;1986;1275;1190;1727;904;852
"ATP5J2-PTCD1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ATP5L";13595;12651;13971;18560;7572;4678;18573;6322;6724;4061;5558;5161;6685;7975;8683;11013;7174;10357;5314;8076
"ATP5L2";2;6;1;9;2;1;0;4;3;4;4;3;2;3;0;4;0;2;5;1
"ATP5O";12457;9215;8597;12305;7575;7789;18166;5981;9147;12777;7577;6426;11137;8120;6840;10801;8400;9939;8945;8407
"ATP5S";233;299;441;497;549;752;583;1384;420;424;1285;513;1255;603;288;634;497;578;333;518
"ATP5SL";2159;2455;1478;1570;2443;2740;2962;2094;960;1169;2840;1866;3564;2030;1902;2402;1916;2081;1290;1856
"ATP6AP1";11667;12681;8630;10276;9149;17891;16902;19156;3867;7093;9846;26949;15619;12430;10480;11136;12221;15513;7357;10758
"ATP6AP1L";272;149;83;117;495;782;439;554;135;276;146;258;183;320;250;424;676;325;194;296
"ATP6AP2";10064;32852;28946;12315;10402;12170;11649;15302;5651;5315;7069;14437;7439;12841;14642;14581;14252;16497;6183;11689
"ATP6V0A1";3589;1957;4218;3072;3467;5456;8434;5461;2530;2829;3471;4907;3764;4666;3521;7360;5370;6565;3255;4795
"ATP6V0A2";3399;3402;4142;2856;1880;3013;2493;2030;1504;2049;1682;4726;1737;3689;5278;3215;2999;2242;1554;3069
"ATP6V0A4";127;2193;113;40;36;3;5;17;178;1476;2004;15;1938;251;123;85;8;21;783;74
"ATP6V0B";11716;12134;19176;13945;7833;11409;29756;7445;6459;6282;12748;8792;16566;5254;9560;7118;9325;9582;6580;5309
"ATP6V0C";5648;5514;7712;8360;4354;12423;12182;9594;3917;3683;6240;6975;7930;4612;3699;7693;8731;11193;5382;5615
"ATP6V0CP3";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
"ATP6V0D1";4838;2915;7392;6582;3215;7003;4629;4404;1552;3181;3485;4784;5547;5182;3250;6740;5382;8383;4053;5298
"ATP6V0D2";113;21;65;20;19;154;129;268;11;9;28;21;10;55;46;1057;636;845;18;130
"ATP6V0E1";13064;9526;19560;9967;10817;13669;16058;10347;4931;8023;4776;14167;6493;9213;8416;10732;13305;13682;8804;10230
"ATP6V0E2";8253;6228;1157;7945;2785;2894;3769;1289;3145;2218;3542;3345;5152;2739;9865;3089;2266;1921;1653;2483
"ATP6V0E2-AS1";1142;398;133;360;206;332;237;125;165;244;129;154;155;274;913;336;307;378;204;220
"ATP6V1A";4070;4393;22634;7273;4389;8469;6336;11113;2214;5775;8665;8109;8217;7202;6924;6063;6453;7313;4025;5259
"ATP6V1B1";226;2148;730;716;600;1531;109;755;395;4227;801;4865;1587;2297;215;873;479;344;1373;650
"ATP6V1B1-AS1";0;0;7;8;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0
"ATP6V1B2";10684;11261;21208;9258;4969;5873;6865;7808;4991;3317;4526;5133;4767;6893;8909;10152;8455;13908;6087;6312
"ATP6V1C1";4651;6966;17250;8446;9169;9616;5358;11663;2327;2177;7988;5733;7898;5806;6722;8466;7487;8099;2657;4983
"ATP6V1C2";371;7105;2761;709;185;30;45;37;165;170;85;1453;135;498;2315;280;209;100;265;295
"ATP6V1D";3691;3318;4827;3142;3277;4656;5068;7512;2704;2706;2297;2728;3456;3081;3086;3940;3450;5067;2369;2686
"ATP6V1E1";7642;5067;7515;5724;6500;5441;9751;9184;3180;3635;10111;7203;14253;6397;11882;9214;6145;9304;4583;7276
"ATP6V1E2";454;298;325;609;165;123;143;336;429;102;197;191;267;212;393;219;159;248;109;208
"ATP6V1F";10604;8490;7168;8243;3844;4156;6770;3504;4355;3310;4254;3707;5436;3671;6763;5252;4358;6530;3635;3519
"ATP6V1G1";6875;6584;6864;9444;8833;11085;11315;8699;3510;3659;9787;9390;13121;7495;5368;8994;9201;7598;3700;6490
"ATP6V1G2";29;45;50;15;266;251;268;121;31;49;135;161;162;128;51;161;149;78;48;126
"ATP6V1G2-DDX39B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ATP6V1G3";2;0;0;0;0;2;0;0;0;0;0;1;0;10;1;0;1;3;0;7
"ATP6V1H";2463;3200;4884;5881;2726;5723;2700;4627;1188;1386;4159;2841;5388;2526;2687;3403;3550;3487;1714;2625
"ATP7A";729;1066;1435;1402;1536;2447;640;3248;290;899;1924;2050;2058;1934;1519;1365;1599;1253;865;1796
"ATP7B";444;986;572;431;1198;3087;1308;2760;287;171;982;654;1587;966;808;941;1424;1341;312;1074
"ATP8A1";625;2086;3267;1387;1485;378;594;821;378;797;942;989;904;1925;1011;2280;1160;1491;1534;2617
"ATP8A2";17;92;20;23;236;26;18;28;9;11;20;337;300;89;12;112;32;40;17;59
"ATP8B1";1304;2916;2109;3979;5534;6025;2689;10189;1023;961;12437;4232;6678;4222;3151;3155;3722;3594;1061;3270
"ATP8B2";2242;2870;5903;1999;6858;16648;2277;3633;1714;1118;4001;8981;3862;7324;3946;10426;17659;6562;3782;10305
"ATP8B3";125;74;112;567;70;374;277;212;63;67;679;149;563;140;190;143;202;121;158;205
"ATP8B4";548;316;966;1049;674;230;219;434;118;269;309;368;310;773;1749;1503;895;1278;728;951
"ATP8B5P";5;143;12;4;7;11;18;20;15;14;17;9;4;11;14;21;8;10;13;10
"ATP9A";8412;12592;3478;13804;7358;17876;4739;21279;3515;2976;11950;12980;12113;8716;14889;9954;8749;6524;3569;6476
"ATP9B";1608;1575;2157;2567;1304;2078;486;1673;833;1005;2836;2321;2873;1818;1013;2054;1621;1595;1167;1551
"ATPAF1";3661;4878;3814;2798;3447;3572;4770;3818;2034;1826;2777;2302;2988;2242;2933;3210;2353;2831;1791;2374
"ATPAF2";877;587;862;640;696;774;1089;1740;605;336;734;573;1046;731;714;803;731;1214;542;643
"ATPIF1";5019;4782;4894;4374;6334;9291;18320;5852;3403;4151;4758;6491;6049;4906;4757;4434;6011;4429;3610;4264
"ATR";3039;5105;10108;9392;2722;4014;2542;7207;2356;2073;3286;3554;3677;3251;3362;2705;2578;2986;1874;2417
"ATRAID";10635;6742;9989;6718;7721;8283;6168;6917;2885;3981;6107;6352;7899;7105;9760;8327;8317;8814;4499;8238
"ATRIP";1267;693;1253;1176;1156;2407;1791;1437;698;482;1044;1335;1134;888;1068;1184;1418;1034;553;732
"ATRN";3451;8679;11851;6400;5346;5082;2486;12584;2617;5230;5098;7287;6281;9329;5084;7183;5676;7093;4759;7550
"ATRNL1";24;29;26;21;297;34;157;330;7;8;13;186;18;271;41;504;38;147;5;267
"ATRX";2689;6843;4347;5980;3773;7372;2025;8338;1131;2669;3526;7543;3683;5978;6632;4380;5066;3859;2185;5949
"ATXN1";2231;2043;3196;1854;3680;7237;1549;6550;616;1655;1224;6991;1643;5860;3032;4393;6081;3525;2322;4954
"ATXN10";7889;8383;9680;12740;7539;7003;5119;11249;4053;2149;12938;5539;15748;6404;6414;8105;5770;8317;2979;6081
"ATXN1L";3132;4024;7431;5190;4020;6853;1579;4365;2075;2949;7421;5473;10069;5621;4804;6430;3778;3839;3309;5424
"ATXN2";2897;1854;2216;2483;2624;3560;2315;2181;831;1330;3712;4386;4100;2948;5407;3462;3047;2199;1473;2800
"ATXN2L";20205;15098;10508;18687;8389;21496;14565;15324;7527;6853;21452;15655;24797;11299;18749;13454;15738;12944;9499;7980
"ATXN3";1362;1285;1875;1630;2555;3248;1586;2980;953;1581;1882;2986;2011;2759;2067;2728;2550;2010;1422;2578
"ATXN3L";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ATXN7";2093;4727;4256;4164;2553;3075;2161;4442;1405;2026;2472;2520;2758;3158;4561;3619;3143;2813;2065;2832
"ATXN7L1";624;1513;1340;811;1162;855;531;723;232;594;427;1160;425;1157;1615;1081;850;720;676;1114
"ATXN7L2";680;570;554;1070;565;767;924;463;414;721;495;754;908;619;500;698;754;539;716;566
"ATXN7L3";7207;7905;6779;8452;3318;7605;5951;7672;5021;3894;6143;5770;6841;5622;5730;5940;5622;5900;4139;4817
"ATXN7L3B";9436;11124;12528;16555;9903;16920;6533;15440;4632;3862;41308;18659;49813;11452;9627;10952;10238;8394;3549;8321
"ATXN8OS";0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;4;0;0
"AUH";787;567;1002;656;1215;1314;1003;1253;351;512;608;900;683;993;924;1262;1072;885;530;859
